Country,2021_Overall score,2021_Government,2021_Technology Sector,2021_Data and Infrastructure,2022_Overall score,2022_Government,2022_Technology Sector,2022_Data and Infrastructure,2023_Overall score,2023_Government,2023_Technology Sector,2023_Data and Infrastructure,2024_Overall score,2024_Government,2024_Technology Sector,2024_Data and Infrastructure
Switzerland,68.56419978,52.30475813,67.59781312,85.79002809,68.49444385,56.16490963,60.55350841,88.76491352,68.5683896,57.32603613,62.96154757,85.41758509,69.41989807,59.05738355,61.32371764,78.56033719
New Zealand,68.08408201,66.0657925,53.16461862,85.02183491,67.81782093,63.23320591,50.45177683,89.76848005,60.18468167,51.84951176,47.04675863,81.65777462,63.98217071,55.95051897,49.56359437,64.95981469
Austria,68.07358716,63.09391979,58.5386354,82.58820628,71.49081059,76.86406545,53.54861855,84.05974775,72.36579509,77.69341556,56.42848466,82.97548506,72.83567415,78.37446596,56.56219206,64.52642816
Spain,67.67652903,71.86805229,49.84342107,81.31811372,67.82500746,71.81627569,48.69740576,82.96134094,67.47437476,72.85686361,50.96164611,78.60461456,69.25248467,74.57860489,50.75038128,68.44533107
Qatar,67.18031989,79.55623792,43.02239859,78.96232317,62.37304734,69.34169436,41.69938513,76.07806254,63.586363,69.63809933,44.30882523,76.81216444,68.22070132,76.06885218,46.90185052,69.08359718
Italy,67.07136413,72.74953021,48.1888239,80.2757383,68.40631647,75.27560073,49.09459497,80.84875373,67.62584509,76.6065863,50.97617739,75.29477158,71.21652388,78.6433406,53.12144476,69.06419819
Belgium,66.16481528,59.06667238,58.54179724,80.88597621,69.94696786,72.01059176,54.78352623,83.04678558,67.28440384,73.09341424,56.02002736,72.73976993,72.68793041,81.25885682,56.23023131,59.45345286
Lithuania,65.19059203,72.79464188,44.27256843,78.50456578,62.20182711,74.38544179,43.94614952,68.27389,63.33225365,75.30598873,43.70352222,70.98725,67.79802914,77.62506397,43.02221089,66.24142125
Slovenia,65.0527651,70.09997529,45.4800599,79.5782601,61.4463947,71.14770746,41.61680906,71.5746676,62.63475187,71.74594007,41.86450827,74.29380726,65.85327433,77.48019942,43.32445607,60.00487803
Malta,64.84862898,83.6170631,41.52178739,69.40703645,62.75184823,80.64994351,38.80482915,68.80077203,63.64436289,80.73570142,40.89060948,69.30677778,63.64342039,75.85860781,39.89417382,63.24858989
Portugal,64.31109865,74.64094667,50.41995164,67.87239764,68.11883424,74.49935831,49.94699783,79.91014658,68.28168555,80.47518209,50.9509814,73.41889316,70.92843933,79.46552644,52.48704017,65.29239703
Saudi Arabia,63.41823204,67.22789521,45.13954623,77.8872547,61.96247066,73.8104046,42.82828195,69.24872541,67.04188134,78.70702299,49.58574192,72.8328791,72.35591144,80.72142265,52.91669929,73.71455056
Poland,62.50277705,67.2690825,42.82257576,77.41667288,62.65072579,68.72363189,45.05237013,74.17617534,63.09568429,69.79180781,46.83920235,72.65604271,67.51119621,76.5277114,45.41413385,62.20813376
Malaysia,62.45903786,68.36956604,52.66569365,66.3418539,67.37403813,77.69845964,50.26213028,74.16152446,68.7072292,79.98717379,54.13015271,72.00436111,71.39992403,82.46990798,54.17096057,57.45407803
Latvia,62.2662637,68.74434104,41.45342779,76.60102225,59.84242562,70.60740077,39.19491064,69.72496547,60.30099482,72.06941292,38.56784977,70.26572177,61.87089556,74.46052864,35.71983287,56.34995181
Russian Federation,61.93369511,67.44308375,46.45922244,71.89877913,61.48426081,76.21026672,43.8794013,64.36311441,62.92297762,74.13139691,43.37584151,71.26169444,64.71707681,72.1515266,45.37520885,49.36125708
Slovakia,61.622784,67.5875025,41.38744257,75.89340694,51.22626911,41.70612339,39.20411097,72.76857297,60.73476979,67.70416051,40.60349974,73.89664912,63.69003612,68.75893557,41.39709126,57.40147702
Brazil,60.63532,65.04257979,42.70015225,74.16322796,62.36663855,69.62159774,43.43316724,74.04515065,63.69915943,72.44400137,45.08217867,73.57129826,65.88947723,74.50695299,44.7845554,55.99616272
Chile,60.41748563,69.98728458,42.13712516,69.12804713,62.51743318,71.27418214,39.31002131,76.96809609,61.94839002,74.56044472,40.90759979,70.37712556,63.19327114,70.75322887,44.11334081,48.26025701
Bulgaria,60.06809672,67.03478875,39.19466819,73.97483321,60.33310733,65.69509824,37.56411861,77.74010513,58.64499758,66.0432174,38.16577789,71.72599743,60.63955798,65.19340947,37.87529008,65.3133788
Hungary,59.71500633,68.08810667,41.65465512,69.4022572,61.43939487,69.22115865,39.44536155,75.6516644,60.66027035,69.95734828,42.20108879,69.82237397,63.63204457,74.08630687,41.80596355,55.71057973
Cyprus,59.71494208,69.45805654,37.9864563,71.70031341,59.14788556,68.34832321,40.90838899,68.18694447,60.84003033,69.39278065,42.03522701,71.09208333,61.50126092,68.5275774,36.17555978,59.40642863
Colombia,58.91032079,73.03005438,34.65873328,69.04217471,59.37944898,74.27162593,35.05240683,68.81431419,57.85276011,74.97882258,35.27909665,63.30036111,59.33330773,71.95600814,38.99648719,35.91044111
Iceland,58.52549589,49.97365529,50.72969361,74.87313877,59.84295226,50.63279518,49.43944747,79.45661414,69.5940496,76.20868237,52.77752625,79.79594017,69.82023722,82.19943627,47.1644215,64.61696127
Indonesia,58.13597168,73.05164917,40.95895465,60.39731122,60.89255185,73.84687089,41.51322073,67.31756391,61.03492368,76.24230135,43.48299533,63.37947436,65.85124932,79.85949065,48.05776504,42.71171336
Uruguay,57.92660526,69.48173,31.63116711,72.66691867,58.2470919,71.1020602,32.2010208,71.43819469,60.57175304,74.40077342,35.31956904,71.99491667,62.20915139,76.39407111,33.30830048,45.18074515
Oman,57.25811351,63.01486979,34.98535728,73.77411347,57.83051152,69.2773661,34.74233619,69.47183227,58.93723222,69.34990164,37.70636501,69.75543,62.91022757,69.60536402,41.28555315,60.99020256
Greece,56.22319444,52.54341,43.33541875,72.79075455,58.56101347,54.37046412,44.70627718,76.60629913,57.94965354,55.91992617,48.36844044,69.56059402,57.69792651,50.66443858,46.54961935,55.68744934
India,56.10603803,73.25807458,48.04415459,47.01588493,63.66522524,75.58427727,48.57987038,66.83152807,62.57800735,75.1759559,49.38818431,63.16988184,62.80654813,73.31982484,50.33660101,43.8534311
Serbia,55.9756157,68.15432354,36.34816007,63.4243635,52.96174925,68.69780694,35.43763432,54.74980648,55.57212047,74.28535696,37.13122026,55.29978419,58.48610163,69.88457689,38.22401947,37.74043697
Argentina,54.35665427,64.86036479,33.62326077,64.58633725,57.38681671,65.56243864,33.56401642,73.03399508,57.72417372,70.3106345,35.27354733,67.58833933,56.40407736,64.65383311,37.08563876,39.95998262
