Country,2021_Overall score,2021_Government,2021_Technology Sector,2021_Data and Infrastructure,2022_Overall score,2022_Government,2022_Technology Sector,2022_Data and Infrastructure,2023_Overall score,2023_Government,2023_Technology Sector,2023_Data and Infrastructure,2024_Overall score,2024_Government,2024_Technology Sector,2024_Data and Infrastructure
Republic of Moldova,41.70704681,40.02719958,29.79987371,55.29406713,42.03558654,41.75492243,28.26273496,56.08910224,42.97129514,42.68589792,28.21182083,58.01616667,56.03414931,69.37868523,29.93851947,36.50900809
Jamaica,41.49969775,36.76335014,31.67647978,56.05926333,37.09045226,34.29816198,29.98754095,46.98565384,41.31633222,48.00813521,28.41451317,47.52634829,37.79095056,34.43360977,28.82493464,30.26097871
Sri Lanka,41.1170847,34.83594986,32.54292112,55.97238313,36.23061644,30.18841318,30.91652088,47.58691527,41.8893437,42.04741762,33.02041903,50.60019444,45.29464691,55.04026057,32.19202535,30.75068525
Dominican Republic,40.88594812,41.25281792,24.56753429,56.83749215,42.15738701,42.67410553,24.49444042,59.30361507,50.71305278,68.0707076,25.34291441,58.72553632,52.69157831,69.03886351,24.76701863,44.00881378
Trinidad and Tobago,40.77693238,34.63273729,28.77842335,58.91963649,36.1712009,30.13839706,28.43648047,49.93872516,39.44275869,32.69770907,32.25112257,53.37944444,40.13955078,32.32995961,31.52954548,36.25674941
Peru,40.55691787,38.24457292,29.52295949,53.90322122,51.97236356,64.50761812,29.87368963,61.53578294,54.8722902,70.15310254,32.28794115,62.17582692,57.11155994,68.60202113,34.02980339,50.16181483
Ghana,40.19417706,41.78334188,24.75280282,54.04638649,36.56305785,47.22058769,22.81851736,39.65006852,32.58404214,34.65649919,23.22690501,39.86872222,43.30178073,59.52623933,25.34735134,31.01739528
Uzbekistan,40.13268957,37.94991174,31.31962244,51.12853453,44.50639995,49.90068196,24.44894346,59.16957444,43.78954115,49.07421058,24.8045667,57.48984615,53.45247202,64.70968247,33.5033404,40.00303443
Lebanon,39.66701083,38.2293609,33.47262343,47.29904815,45.71549399,51.09230569,33.99203086,52.06214542,47.61870616,50.555506,36.99444359,55.30616889,46.66806935,51.0442805,40.47508636,31.24392747
Ecuador,39.19079497,35.42017813,26.12325577,56.02895101,37.3586778,36.07303852,26.54753224,49.45546264,40.83861731,36.12999086,27.81724569,58.56861538,41.45594571,34.2739723,29.30504628,29.37149092
Bosnia and Herzegovina,38.67179055,31.04537988,27.10038805,57.86960373,35.16653037,26.69570084,27.98356209,50.82032818,36.48814846,27.92111151,31.68001337,49.86332051,37.01680441,26.7373587,29.25469296,32.55421914
Suriname,38.58378245,24.9674703,26.62357079,64.16030627,35.10760082,29.58735405,26.08858149,49.64686693,35.51765043,28.27093983,26.84997649,51.43203496,36.87352519,25.79481463,27.83807291,33.7866933
Tajikistan,38.48615463,35.85400625,26.2897616,53.31469605,35.83071587,41.80757544,19.78529365,45.89927851,38.78247405,53.17536994,20.40567674,42.76637547,36.71542489,51.04589401,19.79042437,30.20041126
Algeria,37.92372769,32.96002743,29.57411441,51.23704122,35.32545863,30.16661684,29.93052253,45.87923652,35.98810889,30.09710595,30.56313517,47.30408556,39.05673544,31.67587515,33.25931557,29.71848986
Kyrgyzstan,37.60655564,35.15789896,23.62062675,54.04114121,33.90924499,33.73350051,22.4902151,45.50401936,34.09800116,33.53303728,22.86179952,45.89916667,36.55450391,34.6767153,24.49355625,30.4627881
Maldives,37.46980713,29.59328333,16.08446391,66.73167416,33.53552338,33.68188379,15.16006177,51.76462457,31.71139837,31.71375,20.79336455,42.62708056,31.43166425,33.71338337,17.22096661,45.482
Paraguay,37.347056,35.32188606,22.44868617,54.27059576,35.45868855,36.77186838,21.44232117,48.1618761,36.85412454,37.45030794,24.32093106,48.79113462,39.53861042,36.90180549,23.15469899,29.21101983
Mongolia,37.19721197,33.45120229,27.23745049,50.90298313,37.21364782,35.20881506,26.6769265,49.7552019,38.98928752,35.82820452,27.71243583,53.42722222,42.36130396,36.93689603,26.78497186,34.43844308
Iraq,36.93068457,25.50789267,31.26790425,54.0162568,31.52182498,21.01357138,27.18482757,46.36707599,33.39561913,28.8555,29.06845995,42.26289744,40.90613432,32.601393,35.86924844,29.39325299
Saint Lucia,36.60854493,28.22205475,27.52783286,54.07574719,35.85863778,29.78458801,27.49595936,50.29536597,36.46491071,30.36882078,27.95052479,51.07538656,39.10720613,31.09782151,28.62766551,29.3544933
Gabon,36.50752942,32.39631474,26.50296402,50.6233095,32.42445285,25.31424573,26.3345793,45.62453352,33.09015799,25.12177778,27.67372141,46.47497479,34.14729966,25.44592837,27.77426894,29.72642943
Senegal,36.33866393,39.47343729,28.31373279,41.22882171,34.51097098,35.00762967,27.24784581,41.27743747,42.58345092,59.65092008,27.66921039,40.43022231,46.10767554,62.36934837,28.77175476,30.49230504
Botswana,36.32851619,36.27311333,28.18160819,44.53082705,38.36432707,33.42458882,26.61474718,55.05364523,38.83923461,34.81869108,29.19940165,52.49961111,38.16381779,35.13639427,30.23328622,23.69361883
